,assoc,values
0,they sell,action seen last 48 hours given undue merit sell-in-may-and-go-away maxim however shallow saying profit-taking all-time highs overbought levels ostensibly proven rational course action market participants right .
1,they buy,short-term vagaries market psychology drove rational folk buy market chasing momentum p 500 hit all-time highs .
2,they sell,big beat number could add bets higher inflation less accommodative monetary policy fed therefore threaten exacerbate current market sell-off .
3,they sell,sell-off quite level breadth activity behind volumes average day market breadth meagre 33 .
4,they buy,short-term vagaries market psychology drove rational folk buy market chasing momentum p500 hit all-time highs .
5,they sell,sell-off quite level breadth activity behind volumes average day market breadth meagre 33 per cent .
6,they buy,david tom revealed believe ten best stocks investors buy right ... taylor morrison home n't one right think 10 stocks even better buys .
7,they buy,quarter authorized board directors buy back 100 million stock .
8,they buy,look buyer pool would say evident far buyer behavior result tailwinds see buyers maybe choosing option upgrades buy bigger house maybe could afforded three six months ago given move rates kind drawing marginal buyers market maybe could n't qualified little bit worried devoting high percentage income housing sheryl palmer chairman chief executive officer yes yes alan really across board .
9,they buy,example heard us talk well well two years buyers ability buy larger house .
10,they sell,first quarter sold mention 200 spec .
11,they sell,think total cost analysis think investors buy side sell side accounts interested interested lowest possible total cost .
12,they buy,energy side specifically wti increased market share 58 59 combined crude market .
13,they buy,look buy-side community particular opportunities challenges face strategies .
14,they buy,mean continue look see growth continuing across regions particularly across buy-side community within hedge funds well asset managers .
15,they buy,important important difficult volatility environment actually fed research paper published week half ago saying reduction minimum price increment massively increased health marketplaces increased volumes .
16,they sell,"polen capital management llc sold 993,433 shares company stock declined 6.40 stock markets rallied ."
17,they buy,stock increased 0.01 0.01 last trading session reaching 157.77 .
